win,firstBlood,firstTower,KillDiff,AssistDiff,DamageDiff,TrueDamageDiff,HealDiff,CCTimeDiff,MinionDiff,CounterJungleDiff,DragonDiff,BaronDiff
0,1,1,11,0,3749,1749,16178,-23,-93,11,1,-1
1,1,1,7,0,21313,-612,3730,13,79,20,2,1
1,1,1,17,30,23947,-409,10851,-25,100,5,0,0
0,1,0,-17,-23,-11699,-408,-13770,-47,-72,-7,-1,0
1,1,1,9,10,10474,-1033,9337,9,94,18,2,0
1,1,1,11,17,12439,1843,3844,10,-21,4,2,0
0,1,0,-12,-8,-10040,-1827,-2243,-25,-28,-10,-2,0
1,0,0,8,16,36464,575,27963,-87,-62,21,2,2
1,0,0,6,12,16237,-89,-1705,-47,32,0,-2,2
1,0,1,23,35,23302,1616,5763,7,77,8,3,0
1,1,1,23,42,14676,315,5500,48,-23,12,3,1
0,0,0,-20,-21,-7078,5102,-17784,-16,-72,-31,0,-1
0,0,0,-12,-22,-6756,-2632,-16485,-23,-61,-36,-2,-1
0,0,0,-18,-13,-23394,-4721,131,-11,-135,-40,-2,0
0,0,0,-14,-34,-11742,2989,-21214,-18,-54,6,0,-1
0,0,0,-13,-40,-13466,1889,-2831,35,34,-7,-2,0
1,1,1,21,39,28141,832,3200,28,144,29,1,0
1,1,0,7,19,10170,-8370,-24141,18,92,-16,1,-1
0,1,1,4,-36,3299,7664,-14571,77,-100,38,0,0
1,1,1,17,25,13169,-950,2132,17,104,12,1,0
1,1,1,14,16,25698,-398,-5949,51,26,1,1,1
1,0,0,9,16,21843,4018,8974,52,27,24,2,1
0,0,0,-16,-50,-481,-3651,-810,31,42,0,0,0
1,1,1,5,3,-4857,-3753,8603,-20,60,-1,-4,-1
0,0,0,-18,-17,-24720,-3974,-7826,-17,-99,-11,-2,-1
0,1,1,-12,-41,-3229,2636,-23773,-31,-33,-20,2,-1
0,0,1,-9,-15,-2729,4767,-17703,-35,-56,-22,0,-1
0,0,0,-10,-14,-13020,441,-349,4,-78,-7,0,0
1,0,0,10,19,12275,-2675,18209,32,-19,45,4,1
1,1,1,11,22,24506,-2994,8089,-13,22,-3,-1,1
1,1,1,14,20,7680,658,5689,-22,133,4,2,0
0,1,1,-24,-38,-2217,-1601,-21029,62,1,-43,-3,-2
0,0,0,-6,-27,-30167,3210,27189,1,-22,2,2,-1
0,0,0,-21,-25,-19069,-953,-7785,11,-90,-20,-1,0
0,1,0,-3,-8,-19396,-1949,9695,21,-20,-41,-2,1
1,0,1,6,1,11709,414,-3020,-34,54,25,1,2
0,0,0,-17,-12,-26766,-1095,-6988,-9,-190,-29,-2,0
1,1,1,17,17,10070,-3197,4001,15,82,30,2,1
1,1,1,16,17,20220,717,6977,-37,19,14,3,1
1,1,0,11,14,14672,-2181,20950,-28,-91,25,1,2
1,1,1,16,26,19231,-632,8678,-22,119,11,0,0
0,0,0,-10,-20,-13381,-461,-439,-6,-65,-16,-1,0
0,1,0,-2,-9,-9055,-4233,-21257,35,170,-6,-1,-2
1,1,1,10,27,-4111,3270,22831,49,-17,-6,0,1
0,1,0,-4,-5,15892,1131,-15636,72,-126,-3,-2,1
0,1,1,-16,-14,-10027,-61,-17044,0,51,-25,1,0
0,1,0,-22,-30,-35371,286,-3570,-22,-11,-27,1,-1
1,1,0,4,35,22333,2690,2358,48,45,-12,-4,-1
1,1,1,12,18,34092,2874,1947,28,33,13,4,1
0,1,0,-7,3,-8270,-3102,20253,-168,25,-9,-4,-2
1,1,0,2,7,11124,5654,-7977,-27,116,15,2,2
1,1,1,4,11,-11508,4825,21993,-63,137,1,-1,1
1,1,1,20,21,31672,1391,11514,98,-17,20,4,1
1,1,1,14,25,17308,-4168,-277,-29,-18,18,1,2
1,1,1,11,10,12367,2738,2128,7,62,53,1,2
1,0,1,6,19,26545,-3235,-9813,81,81,28,1,1
